Number,Job Name,Company,Rating,Location,Salary,Description,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
11,Data Scientist,FAST GROWING TREES LLC,4.2,Remote,Employer Provided Salary:$80K - $120K,"Description:

About the Company
Fast Growing Trees is one of the fastest-growing eCommerce companies in America. We enable people to live better, greener lives…one tree at a time. Founded in 2005, we have served over 1 million customers and continue to expand our market leadership and accelerate our growth within a fast-paced, entrepreneurial environment. We’re looking for leaders who want to make a positive difference every day.
About the Role
As a Data Scientist you will be responsible for building and maintaining demand planning models, setting inventory levels, and optimizing nursery space usage to ensure we are in stock for our customers. You will work with Merchandising and Marketing to understand key demand drivers to create realistic forward demand projections. You will analyze trend data and build automated tools to drive replenishment for our highly seasonal ecommerce business. Finally you will work with transportation, suppliers, and the nursery staff to ensure a steady flow of inventory to meet demand within space constraints. If you are passionate about using data to solve complex problems within Supply Chain, this is the role for you!
Requirements:",-1,51 to 200 Employees,2005,Company - Private,Home Furniture & Housewares Stores,Retail & Wholesale,Unknown / Non-Applicable,-1
12,Machine Learning Engineer,Silent Falcon UAS Technologies,4.2,United States,,"Job Description
We are a solutions-based company, looking for a Machine Learning Engineer Intern on our team! Silent Falcon is looking for professionals who can solve complex issues, test new approaches, and research new solutions using data.
About the Job

We’re looking for Machine Learning Engineers! Our software and data pipelines have been built from the ground up, so if you are excited about collaborating in a high-performance team and implementing the latest advancements in Deep Learning to impact the future of geospatial analytics, then this opportunity could be an excellent fit for you.",-1,1 to 50 Employees,-1,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1
13,Artificial Intelligence (AI) Trainer,Juji,4.0,"San Jose, CA",$102K - $161K (Glassdoor est.),"We are seeking highly motivated and talented AI trainers, who can teach our AI assistants natural language understanding and communication skills to deliver fun and satisfying conversational experience. In the meantime, you will gain valuable experience in the growing field of artificial intelligence and its application in diverse business settings.
Qualifications
Our ideal candidates are open-minded, multi-talented individuals who are sensitive to the nuances of interpersonal communication and adept at writing conversations. The individuals must feel comfortable working with customers and as well as with new technologies.
Required Expertise and Experience",-1,1 to 50 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
14,Head of Data,Calendly,3.6,"Atlanta, GA",$103K - $150K (Glassdoor est.),"About the team & opportunity
What's so great about working on Calendly's Engineering team?
We make things possible for our customers through impactful innovation.
As Head of Data, you will guide the design and implementation of a multi-disciplinary data team comprising data architecture, data engineering, machine learning and data science to form the foundation of business and product intelligence for Calendly. This role leads the teams in the creation, support, and evolution of the cloud technology underpinning a hyper-growth SaaS solution. In partnership with development, product, and business partners, you own the data structures, models, and ecosystem of services that inform business strategy, improve our understanding of our customers, and enable an intelligent product experience. Your team strives for excellence in flexibility, scalability and security of Calendly's greatest untapped asset!",-1,501 to 1000 Employees,2013,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,-1
15,Data Scientist (Remote),Mercy,3.5,"Chesterfield, MO",$77K - $114K (Glassdoor est.),"We're a Little Different

Our mission is clear. We bring to life a healing ministry through our compassionate care and exceptional service.

At Mercy, we believe in careers that match the unique gifts of unique individuals - careers that not only make the most of your skills and talents, but also your heart. Join us and discover why Modern Healthcare Magazine named us in its ""Top 100 Places to Work.""

Overview: Data Scientist

Position can be done Remote (work from home).

Mercy is seeking a Data Scientist to work within a team of other advanced professional data scientists, engineers, and application developers in the generation, extraction, and compilation of data to perform creative, high-quality, state-of-the-art analyses and evaluations that produce insights, support decision-making, and drive impact within a leading and transforming healthcare organization. This position will support Mercys efforts to deliver on the vision of personalized, predictive, and proactive care. The candidate should demonstrate expertise with data extraction, management, analysis with data analytics tools, and be able deliver outputs on a timeline. The candidate should be able to effectively document, develop, and communicate project plans and analytic findings with a variety of technical/non-technical stakeholders.





Day-one comprehensive health, vision and dental coverage, PTO, tuition reimbursement and employer-matched retirement funds are just a few of the great benefits offered to eligible co-workers, including those working 32 hours or more per pay period!



At Mercy, our supportive community will be behind you every step of your day, especially the tough ones. You will have opportunities to pioneer new models of care and transform the health care experience through advanced technology and innovative procedures. We're expanding to help our communities grow. Join us and be a part of it all.



Compassion and professionalism go hand-in-hand with us. Having a positive outlook and a strong sense of advocacy is in perfect step with our mission and vision. We're also collaborative and unafraid to do a little extra to deliver excellent care - that's just part of our commitment. If that sounds like a good fit for you, we encourage you to apply.

Mercy has determined this is a safety-sensitive position. The ability to work in a constant state of alertness and in a safe manner is an essential function of this job.",-1,10000+ Employees,1871,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),-1
16,Associate Data Scientist,Tencent,4.0,"Palo Alto, CA",Employer Provided Salary:$65K - $131K,"Work Mode:
Onsite
Responsibilities:
About Tencent
Tencent is a world-leading internet and technology company that develops innovative products and services to improve the quality of life of people around the world. Founded in 1998 with its headquarters in Shenzhen China, our guiding principle is to use technology for good.
We are not only a major video game publisher in the world, we also produce other high-quality digital content, enriching interactive entertainment experiences for people around the globe. We offer a range of services such as cloud computing, advertising, FinTech, and other enterprise services to support our clients' digital transformation and business growth.
About IEG






California
The base pay range for this position in the state(s) above is $65,450 to $130,900 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",-1,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
17,Sr. Data Scientist,"3G Federal Solutions, LLC",-1,Remote,Employer Provided Salary:$70.00 - $80.00 Per Hour,"Sr. Data Scientist
Location: 100 % REMOTE
Duration : 1 year plus extensions
Data Analyst/Scientist Role
We are looking for Data Analyst/Data Scientist to support operationalizing Security Governance and Risk (SG&R) Division`s Data Analytics Programs. The ideal candidate for this position will analyze, interpret, and support data solutions that enable businesses to make effective use of data in business decisioning.
Responsibilities",-1,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
18,Sports Data Scientist,Swish Analytics,5.0,Remote,Employer Provided Salary:$90K - $190K,"Company Description
Swish Analytics is a sports analytics, betting and fantasy startup building the next generation of predictive sports analytics data products. We believe that oddsmaking is a challenge rooted in engineering, mathematics, and sports betting expertise; not intuition. We're looking for team-oriented individuals with an authentic passion for accurate and predictive real-time data who can execute in a fast-paced, creative, and continually-evolving environment without sacrificing technical excellence. Our challenges are unique, so we hope you are comfortable in uncharted territory and passionate about building systems to support products across a variety of industries and consumer/enterprise clients.
Job Description",-1,1 to 50 Employees,2014,Company - Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,-1
19,Jr. Data Scientist,Kyla,3.5,"San Jose, CA",$91K - $131K (Glassdoor est.),"Job Type: Full Time
We are looking for Jr. Data Scientists to join our team.
Kyla is the next generation of healthcare tech. Our mission is to help people live longer and healthier. With the latest AI technologies, we provide the best digital healthcare for everyone. We have several digital products such as mobile app, and three web applications for companies and doctors. We work with Fortune 500 companies. Our solutions are used by thousands, and recently we won the Exceptional Innovation By The 2020 Pandemic Tech Innovation Awards. Our team is bright minds who love their job and development and are not afraid of working in a fast-growing lean startup.
If you would like to join us, do not hesitate to apply.
Required skills:",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
20,Data Scientist,Security Benefit,3.8,"Topeka, KS",$84K - $121K (Glassdoor est.),"Data Scientist positions available at Everly, LLC in Topeka, Kansas. To apply, submit resume and cover letter to: Julie Lind, AVP, Learning and Development, 1 Security Benefit Place, Topeka, Kansas 66636 or by email to Lind.recruit@securitybenefit.com. Job Duties: Using knowledge of Qlik, Tableau, SQL, NoSQL databases, and AWS platform, apply principled methods to quantitative insurance problems in areas such as estimating customer lifetime value, pricing and reserving, etc. Synthesize current business intelligence or trend data to support recommendations for action.

Devise methods for identifying data patterns and trends in available information sources. Collect & analyze business intelligence data from available industry reports, public information, field reports, or purchased sources. Identify and analyze industry or geographic trends with business strategy implications. Review data regarding competitors, suppliers, professional organizations to stay abreast of industry and business trends.

Produce financial and market intelligence through data repository queries, prepare reports. Implement, refine and improve our comprehensive suite of metrics, analyses, tools and dashboards. Democratize data access through our data platform and deliver outcome driven use cases. (Example: end to end view of customer funnel within our BI tool.) Develop, deploy, maintain, and continuously improve machine learning methods through online learning principles - initially focused on our customer experience.

data about lifestyle, age, and other application specific data used to tailor a policy to match the needs of the insured). Collaborate with partners to create and oversee our data strategy, enable data governance and monitor data quality. Maintain library of model documents, templates, or other reusable knowledge assets. Analyze technology trends to identify markets for future product development or to improve sales of existing products.

Conduct or coordinate tests to ensure that intelligence is consistent with defined needs. Troubleshoot and maintain technology stack to ensure continuous measurement of marketing performance, keeping in mind the future changes in the landscape. Provide support cross-functionally working through the entire data mining cycle -business problem, finding the correct data, cleaning, normalizing, mining for insights and surfacing them to the stakeholders. Minimum Education Requirement: Bachelor’s degree or foreign equivalent in Data Science, Business Analytics, Statistics, Electronics Engineering, or related field.

5% travel to conferences or for team meetings to unanticipated locations throughout the U.S.",-1,1001 to 5000 Employees,1891,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,-1
21,Data Scientist,NutaNXT Technologies,4.8,"Santa Clara, CA",$108K - $149K (Glassdoor est.),"Job Description
As a Data Scientist, you will help healthcare run efficiently through AI models that improve the distribution and manufacturing of healthcare products. You will understand key problems faced by business partners across the business, and ask good questions. You will brainstorm possible statistical solutions with help from Senior Data Scientists. You will own AI experiments, failing fast and pivot to the right solution. Finally, you will operationalize models with help from Senior Machine Learning Engineers.
Responsibilities
Extract data from multiple data sources like Microsoft SQL Server, Oracle, Azure Blob, and Azure SQL using SQL or Python",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
22,Data Scientist,Revecore,3.9,Remote,,"Revecore is an innovative, technology-driven company that is committed to helping our clients, our employees, our company, and our communities thrive. An award-winning services firm, partnering with hospitals and health systems, providing the momentum they need to maintain a strong revenue cycle amid today’s evolving healthcare environment.

With a 20+ year history, Revecore is the leading provider of revenue integrity and complex claims solutions for hospitals.

We offer a dynamic and flexible work environment, full of opportunity for motivated, hands-on team players. We strive each day to solve complex business problems and find new ways to enhance the efficiency, effectiveness, and quality of our services. If those attributes resonate with you, regardless of where you are located—we want you on our team!",-1,Unknown,-1,Company - Public,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1
23,Junior Data Scientist,Soothsayer Analytics,2.9,"Livonia, MI",$81K - $113K (Glassdoor est.),"Junior Data Scientist
Working Hours : Full Time(W2)
Experience : 1+Years
Locations : Livonia , Michigan

Soothsayer is seeking Data Scientist who has an interest in solving challenging ML/ AI problems. The Data Science team works on a variety of exciting analytics (ML, AI) projects.",-1,Unknown,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
24,Data Collection Projects,Argos Multilingual,4.5,Remote,,"Location: Remote
About the Job
A large part of the work we do here at Argos Multilingual is related to Data Collection projects for our end clients' research & development teams aiming to train machine translation engines on how a human linguist would translate, and other types of machine learning. Data collection is a vital part of gathering content to train AI to better respond to and interact with natural human language, both written and verbal. The data are collected in different ways, depending on the type & mostly the scope, and the translation project management differs accordingly.
The position is remote and can be done from anywhere. In-country talents are preferred, but this is not a requirement.",-1,201 to 500 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1
25,Data Scientist,Redko,-1,Remote,Employer Provided Salary:$120K - $160K,"We are seeking a highly skilled and experienced Data Scientist to join our team and contribute to the development and optimization of our mobile app. As a Data Scientist, you will play a pivotal role in leveraging data to drive insights, improve decision-making, and enhance the overall user experience. You will collaborate closely with cross-functional teams, including product managers, developers, and marketers, to identify opportunities, conduct data analysis, and develop data-driven solutions. This is an exciting opportunity to apply your expertise in data science and make a significant impact on the success of our mobile app.
Responsibilities:
Collaborate with stakeholders to define and prioritize data-related requirements, goals, and objectives for the mobile app.",-1,-1,-1,-1,-1,-1,-1,-1
26,Advanced AI Data Trainer,Invisible Technologies,3.8,Remote,Employer Provided Salary:$15.00 - $20.00 Per Hour,"Advanced AI Data Trainer - Fully Remote
Start a career in tech: Join the team that's supporting the latest cutting-edge AI language models.
Website | Video Demo | Core Values
The Business Context
You already use AI in many ways—like deciding what products and services to order—and it may be most familiar to you as a chatbot, as an avatar-maker, or as a way to unlock your screen. But here's what AI may be able to help the world with: finding medical diagnoses, teaching you about scientific research, and calculating the complexities of any function.",-1,51 to 200 Employees,2015,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,-1
27,Data Scientist - 300269,Grainger,4.1,"Lake Forest, IL",$93K - $125K (Glassdoor est.),"W.W. Grainger, Inc. is seeking a Data Scientist in Lake Forest, IL with the following requirements: Master’s degree in Statistics, Mathematics, Data Science, Computer Science or related field plus 1 year related experience. Prior experience must include: Analyze and interpret statistical data in the form of data visualization and statistic calculation, translate numerical findings into actionable insights and implementable solutions; Design and conduct experiments, collect the data to measure results and test hypotheses, create inferences and recommendations; Design, implement, and validate statistical and machine learning models like regression, decision trees, clustering, and time series modeling; Utilize statistical computer languages in SQL, Python, R, IBM SPSS Statistics, and MS Office; Present clear and concise results to business partners to adopt and implement analytical recommendations. Up to 20% remote work allowed.

Please submit resume to https://jobs.grainger.com/, reference job #300269",-1,10000+ Employees,1927,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),-1
28,Data Scientist,Mercedes-Benz R&D North America,4.2,"Sunnyvale, CA",$113K - $159K (Glassdoor est.),"Embedded in a worldwide network Mercedes-Benz Research & Development North America continuously strives to remain at the forefront of successful automotive research and development. MBRDNA is headquartered in Silicon Valley, California, with key areas of Autonomous Driving, Advanced Interaction Design, Digital User Experience, Machine Learning, Customer Research, and Open Innovation. In Farmington Hills, Michigan, the focus is on Powertrain and eDrive technology as well as in Long Beach, where the teams test durability of the latest driver assistant and telematic systems. The Digital Hub in Seattle focusses on developing a cloud architecture and building out the cloud platform for the next generation of connected car services. The Testing and Regulatory Affairs Division in Ann Arbor and the Advanced Vehicle Design in Carlsbad complete the competence center.

With the number of connected Mercedes-Benz vehicles on the road increasing daily, the amount of data being generated and its significance is also increasing rapidly. The data and AI team is looking for passionate and versatile Engineers and Data Scientists to support with the collection and analysis of data from Mercedes-Benz Vehicles. As a Data Scientist on the team, you'll be working on projects that will directly influence corporate strategy and future product development. Versatility, adaptability, and an inquisitive approach to problem solving make for an ideal candidate. In this role, you’ll be on the front-lines of an interdisciplinary team of engineers and data scientists and together, you will use data to shape the future of Mercedes-Benz.",-1,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
29,Data Scientist - Government Services,HORNE LLP,3.5,"Austin, TX",$83K - $124K (Glassdoor est.),"HORNE is a professional services firm founded on a cornerstone of public accounting. As a top 25 business advisory firm, our 2,000+ team members serve clients from offices and project locations across the nation and Puerto Rico. Our Government Services practice is at the forefront of economic recovery programs nationwide with one of the most experienced and innovative teams anywhere. Our team provides program and project management, compliance, grant management, subject matter expertise and disaster recovery solutions needed to help government agencies affect positive change.
Requirements:
Required 2+ years of experience in relevant role.
Bachelor’s degree in related field (mathematics, statistics, computer science, engineering, or a related quantitative field). Computer science and/or data science degree preferred.",-1,501 to 1000 Employees,1962,Company - Private,Accounting & Tax,Financial Services,$25 to $100 million (USD),-1
30,Strategic Customers - Data Scientist,Oracle,3.9,United States,,"Oracle’s Strategic Customer Team has the mission to enable OCI's largest and most strategic customers. The Strategic Engineering Customers team is an inclusive and diverse team of high caliber PMs and Engineers focused on the AI/ML Pillar inside of the Strategic Engineering Customer team, distributed globally, who thrive on new challenges. We are seeking an experienced Machine Learning Engineer or Data Scientist with technical expertise in deploying, configuring, and running ML/AI jobs on OCI GPUs, to join our growing team of multidisciplinary experts. As a Senior Principal Data Scientist, you will work closely with the technical and research teams on innovative, strategic projects including advanced applications of ML for the organization. This role is responsible for the technical direction of the team and for communication with both internal and external stakeholder leadership teams, and must demonstrate critical thinking abilities, outstanding communication skills, project management experience and the ability to lead other experienced technical professionals.",-1,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1
31,Data Scientist,Ancile inc,-1,"Bentonville, AR",Employer Provided Salary:$65.00 Per Hour,"JOB TITLE: Data Scientist
LOCATION: Bentonville, AR(100% Remote)
CONTRACT: 12+ months; with extensions
Job Description:
This role will be dedicated to optimizing power consumption and promoting sustainability. We are seeking a highly skilled and motivated Data Analyst/Data Scientist to join our team. In this role, you will be responsible for interpreting and analyzing data flowing through power meters (PMRs) to identify spikes, anomalies, and patterns. Your insights and recommendations will contribute to improving energy efficiency, reducing costs, and ensuring the smooth operation of our clients' power systems.",-1,-1,-1,-1,-1,-1,-1,-1
32,Data Scientist (L6) - Ads,Netflix,4.3,"Los Angeles, CA",$104K - $181K (Glassdoor est.),"Los Angeles, California
Advertising
At Netflix, we seek to entertain the world. We have more than 200 million members in 190 countries, reflecting that great stories can come from anywhere and be loved everywhere.

In Nov 2022, we launched a new lower-priced, ad-supported tier for our customers. We are now continuing to build on our goal of providing more choice for consumers and a premium, better-than-linear TV brand experience for advertisers. That said, we are looking for the founding members of this new business area for Netflix!

The Ads Data Science and Engineering team at Netflix’s mission is to help build the foundation of the ads business at Netflix. We conduct analyses and develop analytic tools, build predictive models and algorithms using machine learning, all with the goal of creating more choices and joy for our members. You’ll work closely with partner teams to build workflows, provide recommendations and drive success on end-to-end analytics initiatives in this 0 -1 space.",-1,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1
33,Data Scientist II,TrueML,-1,Remote,Employer Provided Salary:$124K - $149K,"Why TrueML?
TrueML is a mission-driven financial software company that aims to create better customer experiences for distressed borrowers. Consumers today want personal, digital-first experiences that align with their lifestyles, especially when it comes to managing finances. TrueML’s approach uses machine learning to engage each customer digitally and adjust strategies in real time in response to their interactions.
The TrueML team includes inspired data scientists, financial services industry experts and customer experience fanatics building technology to serve people in a way that recognizes their unique needs and preferences as human beings and endeavoring toward ensuring nobody gets locked out of the financial system.

The Opportunity:

You will join a team dedicated to creating a data driven culture and improving the efficiency and dependability of the way we make decisions. Our data scientists develop algorithms that enhance the collections process for our consumers, lead automation initiatives in the company and help create insights to better understand our product and performance.",-1,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
34,Data Scientist,OneMagnify,4.4,"Detroit, MI",$102K - $141K (Glassdoor est.),"OneMagnify is a one-of-a-kind combination of technology, creative, strategy, data, analytics, and a wide range of marketing services that cut across multiple practice and solution areas to deliver a whole that is truly greater than the sum of its parts. Today’s sophisticated business and marketing landscape requires a fresh, vigilant, and more connected approach to human communications – and we get it.
We’re always looking for diverse, passionate, and skilled candidates to join our award-winning work environments. Our offices have been rated Top, Best, and Coolest places to work by numerous sources for multiple years in a row dating back to 2010. In fact, we were recently rated one of the Best and Brightest companies to work for in the nation. Apply today. Show us what you can do. You might be exactly who we need.
We are looking for a client facing Data Scientist who is excited to create exceptional client partnerships. This role is perfect for a creative problem solver with a vision of how to harness the power of data to help clients make informed decisions.
About You:",-1,201 to 500 Employees,1967,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,-1
35,Data Scientist,Covenant Eyes,4.3,Remote,Employer Provided Salary:$81K - $176K,"Overview
Working at Covenant Eyes is about something bigger than creating and selling software; it’s about creating a movement and changing culture. At the end of the day, you are contributing to saving a marriage, protecting a child’s innocence, strengthening a commitment to purity, and working to end sexual exploitation.
Covenant Eyes is a 100% Employee Owned company and constantly growing. We've made Inc.com's Fortune 5000 Fastest Growing Companiesfor 10 years running & 11 out of the last 12. This growth presents a number of opportunities for working in various technologies as well as career advancement. We offer highly competitive compensation and benefits packagesthat start day-one of employment.
Health, Vision, and Dental Insurance options",-1,51 to 200 Employees,2000,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),-1
