Job Name,Company,Rating,Location,Salary,Description,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer provided,min_salary,max_salary,avg_salary,job_state,age,python_yn,R_yn,spark_yn,aws_yn,excel_yn
Associate Data Scientist,Tencent,4.0,"Palo Alto, CA",Employer Provided Salary:$65K - $131K,"Work Mode:
Onsite
Responsibilities:
About Tencent
Tencent is a world-leading internet and technology company that develops innovative products and services to improve the quality of life of people around the world. Founded in 1998 with its headquarters in Shenzhen China, our guiding principle is to use technology for good.
We are not only a major video game publisher in the world, we also produce other high-quality digital content, enriching interactive entertainment experiences for people around the globe. We offer a range of services such as cloud computing, advertising, FinTech, and other enterprise services to support our clients' digital transformation and business growth.
About IEG






California
The base pay range for this position in the state(s) above is $65,450 to $130,900 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",-1,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,65.0,131.0,98.0,CA,25,0,0,0,1,0
Sr. Data Scientist,"3G Federal Solutions, LLC",-1.0,Remote,Employer Provided Salary:$70.00 - $80.00 Per Hour,"Sr. Data Scientist
Location: 100 % REMOTE
Duration : 1 year plus extensions
Data Analyst/Scientist Role
We are looking for Data Analyst/Data Scientist to support operationalizing Security Governance and Risk (SG&R) Division`s Data Analytics Programs. The ideal candidate for this position will analyze, interpret, and support data solutions that enable businesses to make effective use of data in business decisioning.
Responsibilities",-1,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,1,1,70.0,80.0,75.0,Remote,-1,0,0,0,1,0
Sports Data Scientist,Swish Analytics,5.0,Remote,Employer Provided Salary:$90K - $190K,"Company Description
Swish Analytics is a sports analytics, betting and fantasy startup building the next generation of predictive sports analytics data products. We believe that oddsmaking is a challenge rooted in engineering, mathematics, and sports betting expertise; not intuition. We're looking for team-oriented individuals with an authentic passion for accurate and predictive real-time data who can execute in a fast-paced, creative, and continually-evolving environment without sacrificing technical excellence. Our challenges are unique, so we hope you are comfortable in uncharted territory and passionate about building systems to support products across a variety of industries and consumer/enterprise clients.
Job Description",-1,1 to 50 Employees,2014,Company - Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,-1,0,1,90.0,190.0,140.0,Remote,9,0,0,0,1,1
Jr. Data Scientist,Kyla,3.5,"San Jose, CA",$91K - $131K (Glassdoor est.),"Job Type: Full Time
We are looking for Jr. Data Scientists to join our team.
Kyla is the next generation of healthcare tech. Our mission is to help people live longer and healthier. With the latest AI technologies, we provide the best digital healthcare for everyone. We have several digital products such as mobile app, and three web applications for companies and doctors. We work with Fortune 500 companies. Our solutions are used by thousands, and recently we won the Exceptional Innovation By The 2020 Pandemic Tech Innovation Awards. Our team is bright minds who love their job and development and are not afraid of working in a fast-growing lean startup.
If you would like to join us, do not hesitate to apply.
Required skills:",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,91.0,131.0,111.0,CA,-1,0,0,0,1,0
Data Scientist,Security Benefit,3.8,"Topeka, KS",$84K - $121K (Glassdoor est.),"Data Scientist positions available at Everly, LLC in Topeka, Kansas. To apply, submit resume and cover letter to: Julie Lind, AVP, Learning and Development, 1 Security Benefit Place, Topeka, Kansas 66636 or by email to Lind.recruit@securitybenefit.com. Job Duties: Using knowledge of Qlik, Tableau, SQL, NoSQL databases, and AWS platform, apply principled methods to quantitative insurance problems in areas such as estimating customer lifetime value, pricing and reserving, etc. Synthesize current business intelligence or trend data to support recommendations for action.

Devise methods for identifying data patterns and trends in available information sources. Collect & analyze business intelligence data from available industry reports, public information, field reports, or purchased sources. Identify and analyze industry or geographic trends with business strategy implications. Review data regarding competitors, suppliers, professional organizations to stay abreast of industry and business trends.

Produce financial and market intelligence through data repository queries, prepare reports. Implement, refine and improve our comprehensive suite of metrics, analyses, tools and dashboards. Democratize data access through our data platform and deliver outcome driven use cases. (Example: end to end view of customer funnel within our BI tool.) Develop, deploy, maintain, and continuously improve machine learning methods through online learning principles - initially focused on our customer experience.

data about lifestyle, age, and other application specific data used to tailor a policy to match the needs of the insured). Collaborate with partners to create and oversee our data strategy, enable data governance and monitor data quality. Maintain library of model documents, templates, or other reusable knowledge assets. Analyze technology trends to identify markets for future product development or to improve sales of existing products.

Conduct or coordinate tests to ensure that intelligence is consistent with defined needs. Troubleshoot and maintain technology stack to ensure continuous measurement of marketing performance, keeping in mind the future changes in the landscape. Provide support cross-functionally working through the entire data mining cycle -business problem, finding the correct data, cleaning, normalizing, mining for insights and surfacing them to the stakeholders. Minimum Education Requirement: Bachelor’s degree or foreign equivalent in Data Science, Business Analytics, Statistics, Electronics Engineering, or related field.

5% travel to conferences or for team meetings to unanticipated locations throughout the U.S.",-1,1001 to 5000 Employees,1891,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,-1,0,0,84.0,121.0,102.5,KS,132,0,0,0,1,0
Data Scientist,NutaNXT Technologies,4.8,"Santa Clara, CA",$108K - $149K (Glassdoor est.),"Job Description
As a Data Scientist, you will help healthcare run efficiently through AI models that improve the distribution and manufacturing of healthcare products. You will understand key problems faced by business partners across the business, and ask good questions. You will brainstorm possible statistical solutions with help from Senior Data Scientists. You will own AI experiments, failing fast and pivot to the right solution. Finally, you will operationalize models with help from Senior Machine Learning Engineers.
Responsibilities
Extract data from multiple data sources like Microsoft SQL Server, Oracle, Azure Blob, and Azure SQL using SQL or Python",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,108.0,149.0,128.5,CA,-1,1,0,0,1,0
Junior Data Scientist,Soothsayer Analytics,2.9,"Livonia, MI",$81K - $113K (Glassdoor est.),"Junior Data Scientist
Working Hours : Full Time(W2)
Experience : 1+Years
Locations : Livonia , Michigan

Soothsayer is seeking Data Scientist who has an interest in solving challenging ML/ AI problems. The Data Science team works on a variety of exciting analytics (ML, AI) projects.",-1,Unknown,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,0,81.0,113.0,97.0,MI,-1,0,0,0,1,0
Data Scientist,Redko,-1.0,Remote,Employer Provided Salary:$120K - $160K,"We are seeking a highly skilled and experienced Data Scientist to join our team and contribute to the development and optimization of our mobile app. As a Data Scientist, you will play a pivotal role in leveraging data to drive insights, improve decision-making, and enhance the overall user experience. You will collaborate closely with cross-functional teams, including product managers, developers, and marketers, to identify opportunities, conduct data analysis, and develop data-driven solutions. This is an exciting opportunity to apply your expertise in data science and make a significant impact on the success of our mobile app.
Responsibilities:
Collaborate with stakeholders to define and prioritize data-related requirements, goals, and objectives for the mobile app.",-1,-1,-1,-1,-1,-1,-1,-1,0,1,120.0,160.0,140.0,Remote,-1,0,0,0,1,0
Advanced AI Data Trainer,Invisible Technologies,3.8,Remote,Employer Provided Salary:$15.00 - $20.00 Per Hour,"Advanced AI Data Trainer - Fully Remote
Start a career in tech: Join the team that's supporting the latest cutting-edge AI language models.
Website | Video Demo | Core Values
The Business Context
You already use AI in many ways—like deciding what products and services to order—and it may be most familiar to you as a chatbot, as an avatar-maker, or as a way to unlock your screen. But here's what AI may be able to help the world with: finding medical diagnoses, teaching you about scientific research, and calculating the complexities of any function.",-1,51 to 200 Employees,2015,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,-1,1,1,15.0,20.0,17.5,Remote,8,0,0,0,1,0
Data Scientist - 300269,Grainger,4.1,"Lake Forest, IL",$93K - $125K (Glassdoor est.),"W.W. Grainger, Inc. is seeking a Data Scientist in Lake Forest, IL with the following requirements: Master’s degree in Statistics, Mathematics, Data Science, Computer Science or related field plus 1 year related experience. Prior experience must include: Analyze and interpret statistical data in the form of data visualization and statistic calculation, translate numerical findings into actionable insights and implementable solutions; Design and conduct experiments, collect the data to measure results and test hypotheses, create inferences and recommendations; Design, implement, and validate statistical and machine learning models like regression, decision trees, clustering, and time series modeling; Utilize statistical computer languages in SQL, Python, R, IBM SPSS Statistics, and MS Office; Present clear and concise results to business partners to adopt and implement analytical recommendations. Up to 20% remote work allowed.

Please submit resume to https://jobs.grainger.com/, reference job #300269",-1,10000+ Employees,1927,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),-1,0,0,93.0,125.0,109.0,IL,96,1,0,0,1,0
Data Scientist,Mercedes-Benz R&D North America,4.2,"Sunnyvale, CA",$113K - $159K (Glassdoor est.),"Embedded in a worldwide network Mercedes-Benz Research & Development North America continuously strives to remain at the forefront of successful automotive research and development. MBRDNA is headquartered in Silicon Valley, California, with key areas of Autonomous Driving, Advanced Interaction Design, Digital User Experience, Machine Learning, Customer Research, and Open Innovation. In Farmington Hills, Michigan, the focus is on Powertrain and eDrive technology as well as in Long Beach, where the teams test durability of the latest driver assistant and telematic systems. The Digital Hub in Seattle focusses on developing a cloud architecture and building out the cloud platform for the next generation of connected car services. The Testing and Regulatory Affairs Division in Ann Arbor and the Advanced Vehicle Design in Carlsbad complete the competence center.

With the number of connected Mercedes-Benz vehicles on the road increasing daily, the amount of data being generated and its significance is also increasing rapidly. The data and AI team is looking for passionate and versatile Engineers and Data Scientists to support with the collection and analysis of data from Mercedes-Benz Vehicles. As a Data Scientist on the team, you'll be working on projects that will directly influence corporate strategy and future product development. Versatility, adaptability, and an inquisitive approach to problem solving make for an ideal candidate. In this role, you’ll be on the front-lines of an interdisciplinary team of engineers and data scientists and together, you will use data to shape the future of Mercedes-Benz.",-1,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,0,0,113.0,159.0,136.0,CA,137,0,0,0,1,0
Data Scientist - Government Services,HORNE LLP,3.5,"Austin, TX",$83K - $124K (Glassdoor est.),"HORNE is a professional services firm founded on a cornerstone of public accounting. As a top 25 business advisory firm, our 2,000+ team members serve clients from offices and project locations across the nation and Puerto Rico. Our Government Services practice is at the forefront of economic recovery programs nationwide with one of the most experienced and innovative teams anywhere. Our team provides program and project management, compliance, grant management, subject matter expertise and disaster recovery solutions needed to help government agencies affect positive change.
Requirements:
Required 2+ years of experience in relevant role.
Bachelor’s degree in related field (mathematics, statistics, computer science, engineering, or a related quantitative field). Computer science and/or data science degree preferred.",-1,501 to 1000 Employees,1962,Company - Private,Accounting & Tax,Financial Services,$25 to $100 million (USD),-1,0,0,83.0,124.0,103.5,TX,61,0,0,0,1,0
Data Scientist,Ancile inc,-1.0,"Bentonville, AR",Employer Provided Salary:$65.00 Per Hour,"JOB TITLE: Data Scientist
LOCATION: Bentonville, AR(100% Remote)
CONTRACT: 12+ months; with extensions
Job Description:
This role will be dedicated to optimizing power consumption and promoting sustainability. We are seeking a highly skilled and motivated Data Analyst/Data Scientist to join our team. In this role, you will be responsible for interpreting and analyzing data flowing through power meters (PMRs) to identify spikes, anomalies, and patterns. Your insights and recommendations will contribute to improving energy efficiency, reducing costs, and ensuring the smooth operation of our clients' power systems.",-1,-1,-1,-1,-1,-1,-1,-1,1,1,65.0,0.0,65.0,AR,-1,0,0,0,1,0
Data Scientist (L6) - Ads,Netflix,4.3,"Los Angeles, CA",$104K - $181K (Glassdoor est.),"Los Angeles, California
Advertising
At Netflix, we seek to entertain the world. We have more than 200 million members in 190 countries, reflecting that great stories can come from anywhere and be loved everywhere.

In Nov 2022, we launched a new lower-priced, ad-supported tier for our customers. We are now continuing to build on our goal of providing more choice for consumers and a premium, better-than-linear TV brand experience for advertisers. That said, we are looking for the founding members of this new business area for Netflix!

The Ads Data Science and Engineering team at Netflix’s mission is to help build the foundation of the ads business at Netflix. We conduct analyses and develop analytic tools, build predictive models and algorithms using machine learning, all with the goal of creating more choices and joy for our members. You’ll work closely with partner teams to build workflows, provide recommendations and drive success on end-to-end analytics initiatives in this 0 -1 space.",-1,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1,0,0,104.0,181.0,142.5,CA,26,0,0,0,1,0
Data Scientist II,TrueML,-1.0,Remote,Employer Provided Salary:$124K - $149K,"Why TrueML?
TrueML is a mission-driven financial software company that aims to create better customer experiences for distressed borrowers. Consumers today want personal, digital-first experiences that align with their lifestyles, especially when it comes to managing finances. TrueML’s approach uses machine learning to engage each customer digitally and adjust strategies in real time in response to their interactions.
The TrueML team includes inspired data scientists, financial services industry experts and customer experience fanatics building technology to serve people in a way that recognizes their unique needs and preferences as human beings and endeavoring toward ensuring nobody gets locked out of the financial system.

The Opportunity:

You will join a team dedicated to creating a data driven culture and improving the efficiency and dependability of the way we make decisions. Our data scientists develop algorithms that enhance the collections process for our consumers, lead automation initiatives in the company and help create insights to better understand our product and performance.",-1,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,1,124.0,149.0,136.5,Remote,-1,0,0,0,1,0
Data Scientist,OneMagnify,4.4,"Detroit, MI",$102K - $141K (Glassdoor est.),"OneMagnify is a one-of-a-kind combination of technology, creative, strategy, data, analytics, and a wide range of marketing services that cut across multiple practice and solution areas to deliver a whole that is truly greater than the sum of its parts. Today’s sophisticated business and marketing landscape requires a fresh, vigilant, and more connected approach to human communications – and we get it.
We’re always looking for diverse, passionate, and skilled candidates to join our award-winning work environments. Our offices have been rated Top, Best, and Coolest places to work by numerous sources for multiple years in a row dating back to 2010. In fact, we were recently rated one of the Best and Brightest companies to work for in the nation. Apply today. Show us what you can do. You might be exactly who we need.
We are looking for a client facing Data Scientist who is excited to create exceptional client partnerships. This role is perfect for a creative problem solver with a vision of how to harness the power of data to help clients make informed decisions.
About You:",-1,201 to 500 Employees,1967,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,-1,0,0,102.0,141.0,121.5,MI,56,0,0,0,1,0
Data Scientist,Covenant Eyes,4.3,Remote,Employer Provided Salary:$81K - $176K,"Overview
Working at Covenant Eyes is about something bigger than creating and selling software; it’s about creating a movement and changing culture. At the end of the day, you are contributing to saving a marriage, protecting a child’s innocence, strengthening a commitment to purity, and working to end sexual exploitation.
Covenant Eyes is a 100% Employee Owned company and constantly growing. We've made Inc.com's Fortune 5000 Fastest Growing Companiesfor 10 years running & 11 out of the last 12. This growth presents a number of opportunities for working in various technologies as well as career advancement. We offer highly competitive compensation and benefits packagesthat start day-one of employment.
Health, Vision, and Dental Insurance options",-1,51 to 200 Employees,2000,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),-1,0,1,81.0,176.0,128.5,Remote,23,0,0,0,1,0
Marketing Data Scientist,Sephora USA,3.6,"San Francisco, CA",Employer Provided Salary:$153K - $169K,"Position
Marketing Data Scientist

Profile
Job ID: 230380
Location Name: FSC REMOTE SF/NY/DC -173(USA_0173)
Address: FSC, San Francisco, CA 94105, United States (US)
Job Type: Full Time
Position Type: Regular
Job Function: Marketing
Yes",-1,10000+ Employees,1969,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD),-1,0,1,153.0,169.0,161.0,CA,54,0,0,0,1,0
"Scientist, Data I",ABBVIE,3.9,"Crystal Lake, IL",$67K - $92K (Glassdoor est.),"AbbVie’s Operations Business Insights (OBI) group is continuously innovating to transform AbbVie operations organization to enable the use of data and analytics to drive world-class innovation, performance, and agility across many functional areas.
We are looking for an Associate Data Scientist with entry-level experience in Software Engineering and Data Engineering who aspire to further advance in Data Science skills.
The Associate Data Scientist will assist in bringing machine learning solutions to life by translating business requirements into deployable applications, using complex SQL queries for data query and writing efficient R/Python codes.

Responsibilities:",-1,10000+ Employees,2013,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),-1,0,0,67.0,92.0,79.5,IL,10,1,0,0,1,0
Data Scientist,Parsons,3.9,Remote,Employer Provided Salary:$24.18 - $42.31 Per Hour,"In a world of possibilities, pursue one with endless opportunities. Imagine Next!
When it comes to what you want in your career, if you can imagine it, you can do it at Parsons. Imagine a career working with intelligent, diverse people sharing a common quest. Imagine a workplace where you can be yourself. Where you can thrive. Where you can find your next, right now. We’ve got what you’re looking for.
Job Description:
Parsons is seeking a Data Scientist to support our efforts in advancing public health analytics and modeling. The successful candidate will have a strong background in data science, excellent communication skills, and experience working with diverse stakeholders in public health, academia, and the private sector. As a Data Scientist, you will play a critical role in expanding awareness, training, and sharing of best practices related to outbreak analytics and modeling, ultimately contributing to improved public health outcomes.


Not Applicable/None
This position is part of our Federal Solutions team.
Our Federal Solutions segment delivers resources to our US government customers that ensure the success of missions around the globe. Our diverse, intelligent employees drive the state of the art as they provide services and solutions in the areas of defense, security, intelligence, infrastructure, and environmental. We promote a culture of excellence and close-knit teams that take pride in delivering, protecting, and sustaining our nation's most critical assets, from Earth to cyberspace. Throughout the company, our people are anticipating what’s next to deliver the solutions our customers need now.
$24.18 - $42.31
We value our employees and want our employees to take care of their overall wellbeing, which is why we offer best-in-class benefits such as medical, dental, vision, paid time off, Employee Stock Ownership Plan (ESOP), 401(k), life insurance, flexible work schedules, and holidays to fit your busy lifestyle!
Parsons is an equal opportunity employer committed to diversity, equity, inclusion, and accessibility in the workplace. Diversity is ingrained in who we are, how we do business, and is one of our company’s core values. Parsons equally employs representation at all job levels for minority, female, disabled, protected veteran and LGBTQ+.
We truly invest and care about our employee’s wellbeing and provide endless growth opportunities as the sky is the limit, so aim for the stars! Imagine next and join the Parsons quest—APPLY TODAY!",-1,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),-1,1,1,24.18,42.31,33.245000000000005,Remote,79,0,0,0,1,1
